"Symbol","ISIN","Company","First Listing Date","Face Value","Paid Up Value","Market Lot","Industry"
"SUPREMEIND","INE195A01028","Supreme Industries Limited","19-Jul-1995","2","2","1","-"
"ONGC","INE213A01029","Oil & Natural Gas Corporation Limited","19-Jul-1995","5","5","1","-"
"ZODJRDMKJ","INE077B01018","Zodiac JRD- MKJ Limited","19-Jul-1995","10","10","1","-"
"NKIND","INE542C01019","NK Industries Limited","07-Jul-1995","10","10","1","-"
"BANARBEADS","INE655B01011","Banaras Beads Limited","07-Jul-1995","10","10","100","-"
"BALMLAWRIE","INE164A01016","Balmer Lawrie & Company Limited","06-Jul-1995","10","10","1","-"
"SAIL","INE114A01011","Steel Authority of India Limited","06-Jul-1995","10","10","1","-"
"HINDUNILVR","INE030A01027","Hindustan Unilever Limited","06-Jul-1995","1","1","1","-"
"SEAMECLTD","INE497B01018","Seamec Limited","28-Jun-1995","10","10","1","-"
"CRISIL","INE007A01025","CRISIL Limited","28-Jun-1995","1","1","1","-"
"SOTL","INE035D01012","Savita Oil Technologies Limited","28-Jun-1995","10","10","1","-"
"CHAMBLFERT","INE085A01013","Chambal Fertilizers & Chemicals Limited","14-Jun-1995","10","10","1","-"
"BPL","INE110A01019","BPL Limited","14-Jun-1995","10","10","1","-"
"CLNINDIA","INE492A01029","Clariant Chemicals (India) Limited","14-Jun-1995","10","10","1","-"
"ASIANPAINT","INE021A01026","Asian Paints Limited","31-May-1995","1","1","1","-"
